MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength
,,,,11072841000033114,15000611000001107,Nortriptyline 10mg/5ml oral solution,Nortriptyline 10mg/5ml oral solution,Oral solution,Oral,Nortriptyline hydrochloride,2.000mg/1.000ml
,,,,12901041000033110,36606311000001107,Majoven XL 37.5mg capsules (Bristol Laboratories Ltd),Majoven XL 37.5mg capsules,Modified-release capsule,Oral,Venlafaxine hydrochloride,37.500mg
,,,,12904541000033119,36656911000001104,ViePax XL 225mg tablets (Dexcel-Pharma Ltd),ViePax XL 225mg tablets,Modified-release tablet,Oral,Venlafaxine hydrochloride,225.000mg
,,,,12986241000033113,36845311000001101,Apclaven XL 37.5mg capsules (Torrent Pharma (UK) Ltd),Apclaven XL 37.5mg capsules,Modified-release capsule,Oral,Venlafaxine hydrochloride,37.500mg
,,,,12986341000033115,36845711000001102,Apclaven XL 75mg capsules (Torrent Pharma (UK) Ltd),Apclaven XL 75mg capsules,Modified-release capsule,Oral,Venlafaxine hydrochloride,75.000mg
,,,,12986441000033114,36846211000001103,Apclaven XL 150mg capsules (Torrent Pharma (UK) Ltd),Apclaven XL 150mg capsules,Modified-release capsule,Oral,Venlafaxine hydrochloride,150.000mg
,,,,12989241000033116,36871311000001102,Dutor 20mg gastro-resistant capsules (Torrent Pharma (UK) Ltd),Dutor 20mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Duloxetine hydrochloride,20.000mg
,,,,12989341000033114,36871711000001103,Dutor 40mg gastro-resistant capsules (Torrent Pharma (UK) Ltd),Dutor 40mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Duloxetine hydrochloride,40.000mg
,,,,12989541000033119,36871911000001101,Dutor 60mg gastro-resistant capsules (Torrent Pharma (UK) Ltd),Dutor 60mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Duloxetine hydrochloride,60.000mg
,,,,13300841000033111,37868911000001103,Nortriptyline 10mg/5ml oral solution sugar free,Nortriptyline 10mg/5ml oral solution sugar free,Oral solution,Oral,Nortriptyline hydrochloride,2.000mg/1.000ml
,,,,13300941000033115,37869011000001107,Nortriptyline 25mg/5ml oral solution sugar free,Nortriptyline 25mg/5ml oral solution sugar free,Oral solution,Oral,Nortriptyline hydrochloride,5.000mg/1.000ml
,,,,13719241000033117,38976911000001105,Phenelzine 15mg capsules,Phenelzine 15mg capsules,Capsule,Oral,Phenelzine sulfate,15.000mg
,,,,13740341000033112,38996511000001109,Fluoxetine 40mg capsules (Special Order),Fluoxetine 40mg capsules,Capsule,,Fluoxetine hydrochloride,40.000mg
,,,,13740741000033113,38962811000001109,Fluoxetine 40mg capsules (Imported),Fluoxetine 40mg capsules,Capsule,,Fluoxetine hydrochloride,40.000mg
