MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength
,,,,11026841000033112,31534211000001108,Brivaracetam 50mg/5ml oral solution sugar free,Brivaracetam 50mg/5ml oral solution sugar free,Oral solution,Oral,Brivaracetam,10.000mg/1.000ml
,,,,11027241000033111,31507311000001102,Briviact 10mg/ml oral solution (UCB Pharma Ltd),Briviact 10mg/ml oral solution,Oral solution,Oral,Brivaracetam,10.000mg/1.000ml
,,,,11724841000033116,16102411000001104,Valproic acid 500mg/5ml oral suspension,Valproic acid 500mg/5ml oral suspension,Oral suspension,Oral,Valproate semisodium,100.000mg/1.000ml
,,,,12602641000033112,12189011000001101,Phenobarbital 250mg/5ml oral suspension,Phenobarbital 250mg/5ml oral suspension,Oral suspension,Oral,Phenobarbital,50.000mg/1.000ml
,,,,12603941000033111,35533511000001107,Genlev 100mg/ml oral solution (Genesis Pharmaceuticals Ltd),Genlev 100mg/ml oral solution,Oral solution,Oral,Levetiracetam,100.000mg/1.000ml
,,,,13344341000033118,38019911000001101,Pregabalin 25mg tablets,Pregabalin 25mg tablets,Tablet,Oral,Pregabalin,25.000mg
,,,,13344541000033113,38020111000001103,Pregabalin 50mg tablets,Pregabalin 50mg tablets,Tablet,Oral,Pregabalin,50.000mg
,,,,13344641000033114,38020211000001109,Pregabalin 75mg tablets,Pregabalin 75mg tablets,Tablet,Oral,Pregabalin,75.000mg
,,,,13344741000033117,38019511000001108,Pregabalin 100mg tablets,Pregabalin 100mg tablets,Tablet,Oral,Pregabalin,100.000mg
,,,,13344841000033110,38019611000001107,Pregabalin 150mg tablets,Pregabalin 150mg tablets,Tablet,Oral,Pregabalin,150.000mg
,,,,13344941000033119,38019711000001103,Pregabalin 200mg tablets,Pregabalin 200mg tablets,Tablet,Oral,Pregabalin,200.000mg
,,,,13345041000033119,38019811000001106,Pregabalin 225mg tablets,Pregabalin 225mg tablets,Tablet,Oral,Pregabalin,225.000mg
,,,,13345141000033115,38020011000001104,Pregabalin 300mg tablets,Pregabalin 300mg tablets,Tablet,Oral,Pregabalin,300.000mg
,,,,13446741000033116,38286011000001103,Vigabatrin 100mg soluble tablets sugar free,Vigabatrin 100mg soluble tablets sugar free,Soluble tablet,Gastroenteral/ Oral,Vigabatrin,100.000mg
,,,,13446841000033114,38286111000001102,Vigabatrin 500mg soluble tablets sugar free,Vigabatrin 500mg soluble tablets sugar free,Soluble tablet,Gastroenteral/ Oral,Vigabatrin,500.000mg
,,,,13722241000033117,38998711000001100,Dyzantil 300mg modified-release tablets (Aspire Pharma Ltd),Dyzantil 300mg modified-release tablets,Modified-release tablet,Oral,Sodium valproate,300.000mg
,,,,13764841000033115,12189611000001108,Phenobarbital 30mg/5ml oral suspension,Phenobarbital 30mg/5ml oral suspension,Oral suspension,Oral,Phenobarbital,6.000mg/1.000ml
,,,,13765841000033116,12214111000001100,Phenobarbital 75mg/5ml oral suspension,Phenobarbital 75mg/5ml oral suspension,Oral suspension,Oral,Phenobarbital,15.000mg/1.000ml
