MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength
,,,,12990441000033112,36868711000001104,Arpoya 10mg tablets (Torrent Pharma (UK) Ltd),Arpoya 10mg tablets,Tablet,Oral,Aripiprazole,10.000mg
,,,,12990541000033113,36869111000001107,Arpoya 15mg tablets (Torrent Pharma (UK) Ltd),Arpoya 15mg tablets,Tablet,Oral,Aripiprazole,15.000mg
,,,,12990641000033114,36869311000001109,Arpoya 30mg tablets (Torrent Pharma (UK) Ltd),Arpoya 30mg tablets,Tablet,Oral,Aripiprazole,30.000mg
,,,,13155441000033117,35753411000001105,Halkid 200micrograms/ml oral solution (Thame Laboratories Ltd),Halkid 200micrograms/ml oral solution,Oral solution,Oral,Haloperidol,200.000microgram/1.000ml
,,,,13745541000033113,39125711000001100,Haloperidol 5mg/5ml oral solution sugar free (Special Order),Haloperidol 5mg/5ml oral solution sugar free,Oral solution,,Haloperidol,1.000mg/1.000ml
,,,,2955641000033114,567111000001103,Terrazine 5mg tablets (Dr Reddy's Laboratories (UK) Ltd),Terrazine 5mg tablets,Tablet,Oral,Trifluoperazine hydrochloride,5.000mg
,,,,3030941000033114,5694111000001100,Zyprexa 10mg powder for solution for injection vials (Parapharm Development Ltd),Zyprexa 10mg powder for solution for injection vials,Powder for solution for injection,Intramuscular,Olanzapine,10.000mg
,,,,5575941000033113,17038711000001107,Olanzapine embonate 405mg powder and solvent for suspension for injection vials,Olanzapine embonate 405mg powder and solvent for suspension for injection vials,Powder and solvent for suspension for injection,Intramuscular,Olanzapine embonate monohydrate,405.000mg
,,,,5997341000033118,14015811000001109,Olanzapine 2.5mg/5ml oral solution,Olanzapine 2.5mg/5ml oral solution,Oral solution,Oral,Olanzapine,500.000microgram/1.000ml
,,,,6457241000033117,19588111000001107,Zalasta 7.5mg tablets (Consilient Health Ltd),Zalasta 7.5mg tablets,Tablet,Oral,Olanzapine,7.500mg
,,,,6465441000033115,19610111000001101,Zalasta 15mg orodispersible tablets (Consilient Health Ltd),Zalasta 15mg orodispersible tablets,Orodispersible tablet,Oral,Olanzapine,15.000mg
,,,,6465541000033119,19610411000001106,Zalasta 20mg orodispersible tablets (Consilient Health Ltd),Zalasta 20mg orodispersible tablets,Orodispersible tablet,Oral,Olanzapine,20.000mg
,,,,6514941000033116,19890611000001104,Arkolamyl 5mg orodispersible tablets (Mylan),Arkolamyl 5mg orodispersible tablets,Orodispersible tablet,Oral,Olanzapine,5.000mg
,,,,6515041000033116,19890011000001106,Arkolamyl 10mg orodispersible tablets (Mylan),Arkolamyl 10mg orodispersible tablets,Orodispersible tablet,Oral,Olanzapine,10.000mg
,,,,6515141000033117,19890311000001109,Arkolamyl 15mg orodispersible tablets (Mylan),Arkolamyl 15mg orodispersible tablets,Orodispersible tablet,Oral,Olanzapine,15.000mg
,,,,6515241000033112,19890911000001105,Arkolamyl 20mg orodispersible tablets (Mylan),Arkolamyl 20mg orodispersible tablets,Orodispersible tablet,Oral,Olanzapine,20.000mg
,,,,8886041000033118,20176811000001101,Chlorpromazine 10mg capsules,Chlorpromazine 10mg capsules,Capsule,Oral,Chlorpromazine hydrochloride,10.000mg
,,,,1003641000033113,321614001,Olanzapine 10mg tablets,Olanzapine 10mg tablets,Tablet,Oral,Olanzapine,10.000mg
,,,,1003741000033116,321612002,Olanzapine 5mg tablets,Olanzapine 5mg tablets,Tablet,Oral,Olanzapine,5.000mg
,,,,1003841000033114,321613007,Olanzapine 7.5mg tablets,Olanzapine 7.5mg tablets,Tablet,Oral,Olanzapine,7.500mg
,,,,10041141000033118,28400211000001109,Biquelle XL 50mg tablets (Aspire Pharma Ltd),Biquelle XL 50mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,50.000mg
,,,,10041241000033113,28400411000001108,Biquelle XL 150mg tablets (Aspire Pharma Ltd),Biquelle XL 150mg tablets,Modified-release tablet,Oral,Quetiapine fumarate,150.000mg
