MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,cleansedreadcode,snomedctdescriptionid
197761014,Type 2 diabetes mellitus,20000000,44054006,C10F.00,197761014
1488393013,O/E - Right diabetic foot at low risk,6000000,394671009,2G5E.00,1488393013
1488397014,O/E - Left diabetic foot at low risk,6000000,394675000,2G5I.00,1488397014
121589010,Diabetes mellitus,5000000,73211009,C10..00,121589010
264681018,Diabetic on oral treatment,4000000,170746002,66A4.00,264681018
197984010,Type 1 diabetes mellitus,2000000,46635009,C10E.00,197984010
264682013,Diabetic on insulin,1000000,170747006,66A5.00,264682013
1488404014,O/E - Right diabetic foot at moderate risk,1000000,394682001,2G5F.00,1488404014
264679015,Diabetic on diet only,1000000,170745003,66A3.00,264679015
1488403015,O/E - Left diabetic foot at moderate risk,1000000,394681008,2G5J.00,1488403015
1785332013,Background diabetic retinopathy,700000,390834004,F420000,1785332013
280571000006116,Non-insulin dependent diabetes mellitus,600000,44054006,C109.00,493773010
493774016,Type II diabetes mellitus,600000,44054006,C10F.11,493774016
914391000006116,Insulin treated Type 2 diabetes mellitus,500000,237599002,C10FJ00,2967820013
2159973010,O/E - right eye background diabetic retinopathy,400000,408409007,2BBP.00,2159973010
2159974016,O/E - left eye background diabetic retinopathy,400000,408410002,2BBQ.00,2159974016
264707013,Diabetic - good control,400000,170763003,66AI.00,264707013
1488398016,O/E - Left diabetic foot at high risk,300000,394676004,2G5K.00,1488398016
9093013,Diabetic retinopathy,300000,4855003,F420.00,9093013
1488394019,O/E - Right diabetic foot at high risk,300000,394672002,2G5G.00,1488394019
401531012,Diabetic - poor control,300000,268519009,66AJ.00,401531012
169731000006118,Retinal abnormality - diabetes-related,200000,4855003,2BBF.00,1230609013
908831000006118,[RFC] Diabetes mellitus,200000,908831000006102,,908831000006118
458512016,Diabetic on insulin and oral treatment,200000,314194001,66AV.00,458512016
347657010,Diabetic maculopathy,200000,232020009,F420400,347657010
84471000006119,Type 2 diabetes mellitus,200000,44054006,C109.12,197761014
73466011,Non-insulin dependent diabetes mellitus,100000,44054006,C100112,493773010
616891000006119,Diabetic - moderate control,100000,616891000006103,,616891000006119
1666931000000117,O/E - Right diabetic foot at increased risk,100000,756391000000103,2G5e.00,1666931000000117
1666911000000113,O/E - Left diabetic foot at increased risk,100000,756381000000100,2G5d.00,1666911000000113
772171000006114,Insulin dependent diabetes mellitus,100000,73211009,C108.00,121589010
251591016,H/O: diabetes mellitus,100000,161445009,1434.00,251591016
345486016,Diabetic neuropathy,100000,230572002,F372.12,345486016
1484867016,Non proliferative diabetic retinopathy,90000,390834004,F420600,1484867016
772161000006119,Insulin dependent diabetes mellitus,80000,73211009,C100011,121589010
98476015,Proliferative diabetic retinopathy,80000,59276001,F420100,98476015
2159980012,Maculopathy of left eye with diabetes mellitus,70000,769245002,2BBX.00,3698426017
616511000006110,"Diabetes mellitus, adult onset, no mention of complication",70000,313436004,C100100,457329019
494564012,Type I diabetes mellitus,70000,46635009,C10E.11,494564012
77727018,Insulin dependent diabetes mellitus,60000,73211009,C10E.12,121589010
2159979014,Maculopathy of right eye with diabetes mellitus,60000,769244003,2BBW.00,3698428016
928561000006118,Persistent microalbuminuria associated with type 2 diabetes mellitus,50000,420715001,C10FM00,2967769016
2622193012,Diabetes mellitus with ketoacidosis,50000,420422005,C101.00,2622193012
84841000006113,Type II diabetes mellitus,50000,44054006,C109.13,493774016
2549901010,Diabetic patient unsuitable for digital retinal photography,50000,417681008,9OLD.00,2549901010
297754014,Preproliferative diabetic retinopathy,50000,193349004,F420200,297754014
493773010,NIDDM - Non-insulin dependent diabetes mellitus,40000,44054006,C109.11,493773010
616391000006114,Nervous system disorder due to diabetes mellitus,40000,422088007,C106.00,3688477014
2159976019,O/E - left eye preproliferative diabetic retinopathy,40000,408412005,2BBS.00,2159976019
840951000006119,Insulin treated Type 2 diabetes mellitus,40000,237599002,C109J00,2967820013
2159975015,O/E - right eye preproliferative diabetic retinopathy,40000,408411003,2BBR.00,2159975015
84281000006115,Type 1 diabetes mellitus,30000,46635009,C108.12,197984010
881451000006113,Diabetes mellitus -adult onset,30000,532411000000102,C100199,881451000006113
309179013,Neuropathic diabetic ulcer - foot,30000,201251005,M271100,309179013
928541000006117,Persistent proteinuria associated with type 2 diabetes mellitus,30000,421986006,C10FL00,2967751013
451410016,O/E - Right diabetic foot at risk,30000,308105005,2G5A.00,451410016
1488395018,O/E - Right diabetic foot - ulcerated,30000,394673007,2G5H.00,1488395018
205225016,Diabetic nephropathy,30000,127013003,C104.11,205225016
451411017,O/E - Left diabetic foot at risk,30000,308106006,2G5B.00,451411017
1488396017,O/E - Left diabetic foot - ulcerated,30000,394674001,2G5L.00,1488396017
1484887015,O/E - diabetic maculopathy present both eyes,20000,390854003,2BBL.00,1484887015
309180011,Mixed diabetic ulcer - foot,20000,201252003,M271200,309180011
2159978018,O/E - left eye proliferative diabetic retinopathy,20000,408414006,2BBV.00,2159978018
345487013,Diabetes mellitus with neuropathy,20000,230572002,C106.12,345487013
2159977011,O/E - right eye proliferative diabetic retinopathy,20000,408413000,2BBT.00,2159977011
616421000006118,Eye disorder due to diabetes mellitus,20000,25093002,C105.00,3688467012
84651000006114,Type I diabetes mellitus,20000,46635009,C108.13,494564012
223291000000111,Maturity onset diabetes,20000,44054006,C100111,493774016
2474726011,Pan retinal photocoagulation for diabetes,20000,413180006,7276.00,2474726011
787111000006112,IDDM-Insulin dependent diabetes mellitus,20000,73211009,C108.11,121589010
2287971000000119,Diabetes mellitus in remission,20000,703136005,C10P.00,3007272014
