MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,cleansedreadcode,snomedctdescriptionid
178739011,Epilepsy,2000000,84757009,F25..00,178739011
1780267013,Epilepsy medication review,1000000,401062003,8BIF.00,1780267013
264629018,Epilepsy monitoring,500000,170702005,667..00,264629018
223811000000118,Generalised epilepsy,200000,19598007,F251000,479713017
2159218018,1 to 12 seizures a year,200000,407618000,667Q.00,2159218018
297296014,Temporal lobe epilepsy,100000,193000002,F254000,297296014
399408014,Epilepsy NOS,100000,84757009,F25z.00,178739011
251644018,H/O: epilepsy,90000,161480008,1473.00,251644018
230321000006117,Petit mal (minor) epilepsy,60000,509341000000107,F250000,1132511000000113
2159219014,2 to 4 seizures a month,50000,407619008,667R.00,2159219014
2692343011,Seen in epilepsy clinic,50000,429279006,9N0r.00,2692343011
2159220015,1 to 7 seizures a week,40000,407620002,667S.00,2159220015
2159274014,Complex partial epileptic seizure,40000,407675009,F254500,2159274014
453344019,Epileptic seizure,30000,313307000,F25z.11,457182017
142051000000117,Epilepsy management plan given,30000,840261000000103,667M.00,2180511000000117
345225017,Focal epilepsy,30000,230381009,F255011,345225017
264638016,Epilepsy treatment changed,30000,170710006,6678.00,264638016
459233015,Epilepsy control good,20000,314827004,667C.00,459233015
297284019,Epileptic seizures - tonic,20000,192993002,F251400,297284019
500033015,Generalised convulsive epilepsy,20000,65120008,F251.00,500033015
2159221016,Daily seizures,20000,407621003,667T.00,2159221016
11300012,Juvenile myoclonic epilepsy,20000,6204001,F25A.00,11300012
23820010,Status epilepticus,10000,230456007,F253.11,345339019
245341000006117,Localisation-related epilepsy,10000,230381009,F255.00,345224018
472411018,Grand mal epilepsy,10000,352818000,F251099,472411018
297282015,Epileptic seizures - clonic,10000,192991000,F251200,297282015
264639012,Epilepsy treatment started,10000,170711005,6679.00,264639012
345275015,Juvenile absence epilepsy,10000,230413002,F250400,345275015
450603013,"Jacksonian, focal or motor epilepsy",10000,307357004,F255000,450603013
2478828012,Traumatic epilepsy,10000,75023009,SC20000,2478828012
345323014,Nocturnal epilepsy,10000,230445007,667B.00,345323014
103531000006110,Tonic-clonic epilepsy,10000,352818000,F251011,472410017
472410017,Tonic-clonic epilepsy,10000,352818000,F251500,472410017
297283013,Epileptic seizures - myoclonic,9000,192992007,F251300,297283013
647301000006112,Epileptic absences,9000,509341000000107,F250011,1132511000000113
73622018,Benign Rolandic epilepsy,9000,44145005,F25y400,73622018
297295013,Partial epilepsy with impairment of consciousness,7000,192999003,F254.00,297295013
2159227017,Epilepsy confirmed,7000,407627004,1O30.00,2159227017
301541000000116,Simple partial epileptic seizure,6000,199451000000106,F255600,301541000000116
459234014,Epilepsy control poor,6000,314828009,667D.00,459234014
2159222011,Many seizures a day,5000,407622005,667V.00,2159222011
125721000006111,"Status epilepticus, unspecified",4000,230456007,F25X.00,345339019
245351000006115,Partial epilepsy,4000,230381009,F255z00,345227013
2550890017,Generalised non-convulsive epilepsy,3000,192979009,F250.00,297264018
297324019,Other forms of epilepsy,3000,84757009,F25y.00,178739011
297266016,Epileptic seizures - atonic,3000,192981006,F250200,297266016
264634019,Epilepsy associated problems,3000,170706008,6674.00,264634019
297330019,Other forms of epilepsy NOS,2000,84757009,F25yz00,178739011
297290015,Generalised convulsive epilepsy NOS,2000,65120008,F251z00,500033015
345345010,Complex partial status epilepticus,2000,230460005,F25y300,345345010
137801000000112,Epilepsy limits activities,2000,88491000000102,667K.00,137801000000112
883041000006118,Petit mal epilepsy,2000,509341000000107,F250099,883041000006118
512000013,Photosensitive epilepsy,2000,95208000,F25F.00,512000013
478024019,Alcohol-induced epilepsy,2000,361268000,F25B.00,478024019
851121000006117,Partial epilepsy,1000,851121000006101,,851121000006117
2159223018,Emergency epilepsy treatment since last appointment,1000,407623000,667W.00,2159223018
736371000006112,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset,1000,193022009,F25y200,297327014
362161000006110,Acquired epileptic aphasia,1000,230438007,Eu80300,345312010
379901000006113,[X]Epileptic psychosis NOS,1000,111479008,Eu05y11,178719012
141981000000118,Epilepsy restricts employment,1000,93141000000105,667G.00,141981000000118
299334015,[X]Other generalized epilepsy and epileptic syndromes,1000,84757009,Fyu5000,178739011
297303012,Partial epilepsy with impairment of consciousness NOS,1000,192999003,F254z00,297295013
299336018,[X]Other epilepsy,1000,84757009,Fyu5100,178739011
1489345013,Transient epileptic amnesia,900,395689002,1B1W.00,1489345013
