MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,ethnicity_group,cleansedreadcode,snomedctdescriptionid
1968301000006118,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,,977591000000103,Asian/British Asian,9t16.00,2486641000000116
286020010,Asian - ethnic group,,315280000,Asian/British Asian,9T1E.00,459783012
158361000000116,Asian and Chinese - ethnic category 2001 census,,92611000000106,Asian/British Asian,9i64.00,158361000000116
141401000000117,Chinese - ethnic category 2001 census,,92511000000107,Asian/British Asian,9iE..00,141401000000117
141641000000116,Filipino - ethnic category 2001 census,,92771000000105,Asian/British Asian,9iF2.00,141641000000116
1968161000006115,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,,976851000000107,Asian/British Asian,9t0B.00,2485071000000113
141561000000119,British Asian - ethnic category 2001 census,,92681000000104,Asian/British Asian,9iA8.00,141561000000119
411584018,Indo-Caribbean (NMO),,275597009,Asian/British Asian,9SA6.12,411584018
456650013,Vietnamese,,312859007,Asian/British Asian,9SC..00,456650013
141631000000113,Japanese - ethnic category 2001 census,,92761000000103,Asian/British Asian,9iF1.00,141631000000113
141651000000118,Malaysian - ethnic category 2001 census,,92781000000107,Asian/British Asian,9iF3.00,141651000000118
1968481000006118,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census",,978071000000106,Asian/British Asian,9t27.00,2487601000000117
459784018,Other Asian ethnic group,,315281001,Asian/British Asian,9SH..00,459784018
1572831000000110,Nepali,,718131000000106,Asian/British Asian,9T9..00,1572831000000110
285956019,Bangladeshi,,186003008,Asian/British Asian,9S8..00,285956019
285955015,Pakistani,,186002003,Asian/British Asian,9S7..00,285955015
285954016,Indian,,414481008,Asian/British Asian,9S6..00,2533844017
937651000006117,Other Asian or Asian unspecified - ethnic category 2001 census,,92701000000102,Asian/British Asian,9iAA.00,141581000000111
141621000000111,Vietnamese - ethnic category 2001 census,,92751000000101,Asian/British Asian,9iF0.00,141621000000111
157271000000119,Indian or British Indian - ethnic category 2001 census,,110751000000108,Asian/British Asian,9i7..00,157271000000119
136081000000111,Sri Lankan - ethnic category 2001 census,,86461000000107,Asian/British Asian,9iA4.00,136081000000111
56590016,Chinese,,33897005,Asian/British Asian,9S9..00,56590016
141381000000117,Other Asian background - ethnic category 2001 census,,92481000000101,Asian/British Asian,9iA..00,141381000000117
1968171000006110,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,,976871000000103,Asian/British Asian,9t0C.00,2485111000000119
1968491000006115,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census",,978111000000100,Asian/British Asian,9t28.00,2487681000000110
1968311000006115,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,,977711000000100,Asian/British Asian,9t17.00,2486881000000113
141511000000116,Mixed Asian - ethnic category 2001 census,,92631000000103,Asian/British Asian,9iA9.00,141511000000116
141521000000110,Punjabi - ethnic category 2001 census,,92641000000107,Asian/British Asian,9iA1.00,141521000000110
937541000006115,Bangladeshi or British Bangladeshi - ethnic category 2001 census,,92471000000103,Asian/British Asian,9i9..00,141371000000119
141361000000114,Pakistani or British Pakistani - ethnic category 2001 census,,92461000000105,Asian/British Asian,9i8..00,141361000000114
141531000000112,Kashmiri - ethnic category 2001 census,,92651000000105,Asian/British Asian,9iA2.00,141531000000112
1968341000006116,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,,977771000000105,Asian/British Asian,9t1A.00,2487001000000110
141541000000115,East African Asian - ethnic category 2001 census,,92661000000108,Asian/British Asian,9iA3.00,141541000000115
1968331000006114,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,,977751000000101,Asian/British Asian,9t19.00,2486961000000110
