MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,aurumterm,osteosite
1220723013,,,,Fracture of thoracic vertebra,Vertebra
405143010,,,,Pathological fracture of thoracic vertebra,Vertebra
318435018,,,,Closed fracture thoracic vertebra,Vertebra
318454018,,,,Closed fracture lumbar vertebra,Vertebra
370001000000111,,,,Vertebroplasty of fracture of spine,Vertebra
40871000006119,,,,Osteoporosis with pathological fracture of cervical vertebrae,Vertebra
405144016,,,,Pathological fracture of lumbar vertebra,Vertebra
318445016,,,,Closed fracture thoracic vertebra not otherwise specified,Vertebra
318456016,,,,"Closed fracture lumbar vertebra, wedge",Vertebra
1220724019,,,,Fracture of lumbar vertebra,Vertebra
40881000006116,,,,Osteoporosis with pathological fracture of lumbar vertebrae,Vertebra
318443011,,,,Other specified closed fracture thoracic vertebra,Vertebra
40891000006118,,,,Osteoporosis with pathological fracture of thoracic vertebrae,Vertebra
318437014,,,,"Closed fracture thoracic vertebra, wedge",Vertebra
2674037014,,,,Balloon kyphoplasty of fracture of spine,Vertebra
325382011,,,,Fracture of shoulder,Shoulder
564541000006113,,,,Closed fracture of head of humerus,Shoulder
325381016,,,,[X]Fracture of other parts of shoulder and upper arm,Shoulder
318757012,,,,"Closed fracture proximal humerus, four part",Shoulder
277193016,,,,Closed reduction of fracture of shoulder,Shoulder
574014,,,,Fracture of upper end of humerus,Shoulder
318755016,,,,"Closed fracture of humerus, upper epiphysis",Shoulder
318756015,,,,"Closed fracture proximal humerus, three part",Shoulder
565731000006112,,,,Closed fracture subluxation shoulder joint,Shoulder
318751013,,,,"Closed fracture proximal humerus, neck",Shoulder
318752018,,,,"Closed fracture of proximal humerus, anatomical neck",Shoulder
793931000006111,,,,Fracture dislocation or subluxation shoulder,Shoulder
1229897016,,,,Closed fracture of the proximal humerus,Shoulder
565401000006114,,,,Closed fracture-dislocation shoulder joint,Shoulder
565721000006114,,,,Closed fracture subluxation shoulder joint,Shoulder
318753011,,,,"Closed fracture proximal humerus, greater tuberosity",Shoulder
318758019,,,,Closed fracture of proximal humerus not otherwise specified,Shoulder
318750014,,,,Closed fracture of upper end of humerus,Shoulder
565391000006112,,,,Closed fracture dislocation shoulder joint,Shoulder
500272010,,,,Fracture of forearm,Wrist
569501000006112,,,,Closed volar Barton fracture-subluxation,Wrist
318857019,,,,Closed fracture radial styloid,Wrist
