MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,cleansedreadcode,snomedctdescriptionid
107644019,Ulcerative colitis,900000,64766004,J410100,107644019
56765016,Crohn's disease,700000,34000006,J40..11,56765016
1772803017,Coeliac disease,500000,396331005,J690.00,1772803017
179501000006113,Crohn's regional enteritis,200000,34000006,J40..00,485713019
85931000006112,Ulcerative colitis and/or proctitis,100000,295046003,J41..12,435370011
572041000006116,Noninfectious colitis,70000,14066009,J4...11,23955011
106758018,Colitis,70000,64226004,J437.00,106758018
338672013,Percutaneous endoscopic gastrostomy feeding,50000,225373002,8CJ2.00,338672013
601031000006119,CC - Crohn's colitis,40000,50440006,J401z11,1230866018
396361018,Noninfectious enteritis,40000,71207007,J43..00,118245016
435370011,Ulcerative proctocolitis,30000,295046003,J410.00,435370011
411543016,H/O: ulcerative colitis,20000,275549008,14C4.11,411543016
456042017,Permanent percutaneous endoscopic gastrostomy,20000,312341002,761E400,456042017
2579429013,Idiopathic proctocolitis,20000,64766004,J41..00,2579429013
601091000006115,Crohn's disease of terminal ileum,20000,196977009,J400200,302938014
32563019,Collagenous colitis,20000,19311003,J436000,32563019
886291000006112,Regional enteritis - Crohn,10000,34000006,J40..99,886291000006112
52549017,Lymphocytic colitis,10000,31437008,J436100,52549017
353418019,Microscopic colitis,10000,235753003,J436.00,353418019
303668012,Intestinal malabsorption,10000,197476001,J69..00,303668012
303690012,Coeliac disease NOS,9000,396331005,J690z00,1772803017
2872721013,Ulcerative pancolitis,8000,444548001,J413.00,2872721013
2532953017,Exacerbation of ulcerative colitis,8000,414156000,J410400,2532953017
1696251000006113,Bile acid malabsorption syndrome,8000,44332000,,73950015
302941017,Crohn's disease of small intestine,6000,56689002,J400z00,94270018
396357012,Crohn's disease of large bowel,5000,7620006,J401z00,13585013
396411014,Malabsorption syndrome,4000,32230006,J69yz00,53833019
353359014,Malabsorption syndrome NOS,4000,32230006,J69yz13,53833019
85891000006115,Ulcerative enterocolitis,4000,235714007,J411.00,353357011
302940016,Crohn's disease of ileum,4000,38106008,J400400,64705019
1222351011,Crohn's disease NOS,4000,34000006,J40z.11,56765016
496986017,Pancreatic steatorrhoea,3000,54576000,J694.00,496986017
483694017,Chronic steatorrhoea,3000,27868004,J69y000,483694017
2645982013,Infected percutaneous endoscopic gastrostomy site,3000,423843003,SP06900,2645982013
696071000006114,Mucous colitis and/or proctitis,2000,43752006,J41..11,72962011
309744019,Arthropathy in Crohn's disease,2000,201728006,N031100,309744019
2532950019,Exacerbation of Crohn's disease of large intestine,2000,414153008,J401200,2532950019
132411000006119,Malabsorption due to intolerance to soya protein,2000,197493001,J69y500,303712013
303721014,Intestinal malabsorption NOS,2000,197476001,J69z.00,303668012
303703011,Other intestinal malabsorption,2000,197476001,J69y.00,303668012
2645633010,Maintenance of percutaneous endoscopic gastrostomy tube,2000,423508006,7617700,2645633010
302962016,Idiopathic proctocolitis NOS,2000,64766004,J41z.00,2579429013
303762015,[X]Other ulcerative colitis,2000,64766004,Jyu4100,107644019
