MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength
,,,,11810641000033118,33665211000001103,Ventra 40mg gastro-resistant capsules (Ethypharm UK Ltd),Ventra 40mg gastro-resistant capsules,Gastro-resistant capsule,Oral/ Gastroenteral,Esomeprazole magnesium dihydrate,40.000mg
,,,,11810741000033110,33664711000001106,Ventra 20mg gastro-resistant capsules (Ethypharm UK Ltd),Ventra 20mg gastro-resistant capsules,Gastro-resistant capsule,Oral/ Gastroenteral,Esomeprazole magnesium dihydrate,20.000mg
,,,,1003941000033118,317291008,Omeprazole 20mg gastro-resistant capsules,Omeprazole 20mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Omeprazole,20.000mg
,,,,1004041000033116,317295004,Omeprazole 40mg gastro-resistant capsules,Omeprazole 40mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Omeprazole,40.000mg
,,,,1004141000033117,317297007,Omeprazole 10mg gastro-resistant capsules,Omeprazole 10mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Omeprazole,10.000mg
,,,,1041041000033114,317318004,Pantoprazole 40mg gastro-resistant tablets,Pantoprazole 40mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Pantoprazole sodium sesquihydrate,40.000mg
,,,,1136341000033111,922011000001101,Protium 40mg gastro-resistant tablets (Nycomed UK Ltd),Protium 40mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Pantoprazole sodium sesquihydrate,40.000mg
,,,,13314941000033114,24351311000001108,Omeprazole 10mg/5ml oral solution,Omeprazole 10mg/5ml oral solution,Oral solution,Oral,Omeprazole,2.000mg/1.000ml
,,,,13315041000033114,24351411000001101,Omeprazole 20mg/5ml oral solution,Omeprazole 20mg/5ml oral solution,Oral solution,Oral,Omeprazole,4.000mg/1.000ml
,,,,13419741000033115,38072111000001103,Omeprazole 10mg/5ml oral suspension sugar free,Omeprazole 10mg/5ml oral suspension sugar free,Oral suspension,Gastroenteral/ Oral,Omeprazole,2.000mg/1.000ml
,,,,13419841000033113,38072211000001109,Omeprazole 20mg/5ml oral suspension sugar free,Omeprazole 20mg/5ml oral suspension sugar free,Oral suspension,Gastroenteral/ Oral,Omeprazole,4.000mg/1.000ml
