MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength
,,,,11694341000033111,32878911000001109,Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,Prolonged-release suspension for injection/,Intramuscular,Paliperidone palmitate,200.000mg/1.000ml
,,,,11694441000033117,32879011000001100,Paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,Paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,Prolonged-release suspension for injection/,Intramuscular,Paliperidone palmitate,200.000mg/1.000ml
,,,,11694541000033116,32879111000001104,Paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,Paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,Prolonged-release suspension for injection/,Intramuscular,Paliperidone palmitate,200.000mg/1.000ml
,,,,11694641000033115,32879211000001105,Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,Prolonged-release suspension for injection/,Intramuscular,Paliperidone palmitate,200.000mg/1.000ml
,,,,11694741000033112,32866911000001100,Trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,Prolonged-release suspension for injection/,Intramuscular,Paliperidone palmitate,200.000mg/1.000ml
,,,,11694841000033119,32867811000001107,Trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,Prolonged-release suspension for injection/,Intramuscular,Paliperidone palmitate,200.000mg/1.000ml
,,,,11694941000033110,32868111000001104,Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,Prolonged-release suspension for injection/,Intramuscular,Paliperidone palmitate,200.000mg/1.000ml
,,,,11695041000033110,32868411000001109,Trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,Prolonged-release suspension for injection/,Intramuscular,Paliperidone palmitate,200.000mg/1.000ml
,,,,4200641000033118,11763211000001100,Paliperidone 3mg modified-release tablets,Paliperidone 3mg modified-release tablets,Modified-release tablet,Oral,Paliperidone,3.000mg
,,,,4200741000033110,11763311000001108,Paliperidone 6mg modified-release tablets,Paliperidone 6mg modified-release tablets,Modified-release tablet,Oral,Paliperidone,6.000mg
,,,,4200841000033117,11763411000001101,Paliperidone 9mg modified-release tablets,Paliperidone 9mg modified-release tablets,Modified-release tablet,Oral,Paliperidone,9.000mg
,,,,4200941000033113,11749311000001101,Invega 3mg modified-release tablets (Janssen-Cilag Ltd),Invega 3mg modified-release tablets,Modified-release tablet,Oral,Paliperidone,3.000mg
,,,,4201041000033115,11749811000001105,Invega 6mg modified-release tablets (Janssen-Cilag Ltd),Invega 6mg modified-release tablets,Modified-release tablet,Oral,Paliperidone,6.000mg
,,,,4201141000033116,11751011000001100,Invega 9mg modified-release tablets (Janssen-Cilag Ltd),Invega 9mg modified-release tablets,Modified-release tablet,Oral,Paliperidone,9.000mg
,,,,6359441000033116,19223711000001101,Paliperidone 50mg/0.5ml suspension for injection pre-filled syringes,Paliperidone 50mg/0.5ml suspension for injection pre-filled syringes,Suspension for injection,Intramuscular,Paliperidone palmitate,100.000mg/1.000ml
,,,,6359541000033115,19223811000001109,Paliperidone 75mg/0.75ml suspension for injection pre-filled syringes,Paliperidone 75mg/0.75ml suspension for injection pre-filled syringes,Suspension for injection,Intramuscular,Paliperidone palmitate,100.000mg/1.000ml
,,,,6359641000033119,19223511000001106,Paliperidone 100mg/1ml suspension for injection pre-filled syringes,Paliperidone 100mg/1ml suspension for injection pre-filled syringes,Suspension for injection,Intramuscular,Paliperidone palmitate,100.000mg/1.000ml
,,,,6359741000033111,19223611000001105,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes,Suspension for injection,Intramuscular,Paliperidone palmitate,100.000mg/1.000ml
,,,,6359841000033118,19208911000001101,Xeplion 50mg/0.5ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Xeplion 50mg/0.5ml suspension for injection pre-filled syringes,Suspension for injection,Intramuscular,Paliperidone palmitate,100.000mg/1.000ml
,,,,6359941000033114,19210011000001104,Xeplion 75mg/0.75ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Xeplion 75mg/0.75ml suspension for injection pre-filled syringes,Suspension for injection,Intramuscular,Paliperidone palmitate,100.000mg/1.000ml
,,,,6360041000033112,19210611000001106,Xeplion 100mg/1ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Xeplion 100mg/1ml suspension for injection pre-filled syringes,Suspension for injection,Intramuscular,Paliperidone palmitate,100.000mg/1.000ml
,,,,6360141000033111,19210911000001100,Xeplion 150mg/1.5ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Xeplion 150mg/1.5ml suspension for injection pre-filled syringes,Suspension for injection,Intramuscular,Paliperidone palmitate,100.000mg/1.000ml
,,,,1173841000033113,343311000001101,Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd),Risperdal 1mg/ml oral solution,Oral solution,Oral,Risperidone,1.000mg/1.000ml
,,,,1173941000033117,321597002,Risperidone 1mg/ml oral solution sugar free,Risperidone 1mg/ml oral solution sugar free,Oral solution,Oral,Risperidone,1.000mg/1.000ml
,,,,1176241000033115,589911000001105,Risperdal 1mg tablets (Janssen-Cilag Ltd),Risperdal 1mg tablets,Tablet,Oral,Risperidone,1.000mg
,,,,1176341000033113,858911000001109,Risperdal 2mg tablets (Janssen-Cilag Ltd),Risperdal 2mg tablets,Tablet,Oral,Risperidone,2.000mg
,,,,1176441000033119,518911000001100,Risperdal 3mg tablets (Janssen-Cilag Ltd),Risperdal 3mg tablets,Tablet,Oral,Risperidone,3.000mg
,,,,1176541000033118,429611000001104,Risperdal 4mg tablets (Janssen-Cilag Ltd),Risperdal 4mg tablets,Tablet,Oral,Risperidone,4.000mg
,,,,1176641000033117,321589009,Risperidone 1mg tablets,Risperidone 1mg tablets,Tablet,Oral,Risperidone,1.000mg
