MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,cleansedreadcode,snomedctdescriptionid
255283019,O/E - visual acuity L-eye=6/12,300000,163953000,2B74.00,255283019
61821000006117,Visual disturbance,300000,63102001,F48..00,104891017
255266011,O/E - visual acuity R-eye=6/12,300000,163939000,2B64.00,255266011
399453011,Blurred vision,300000,240091000000105,F48y000,389901000000110
255284013,O/E - visual acuity L-eye=6/18,200000,163954006,2B75.00,255284013
253059015,Visual symptoms,200000,162274004,1B7..00,253059015
255267019,O/E - visual acuity R-eye=6/18,200000,163940003,2B65.00,255267019
442202014,Registered partially sighted,100000,300994001,6688.00,442202014
264661019,Registered blind,100000,170727003,6689.00,264661019
264662014,Poor visual acuity,100000,170728008,668B.00,264662014
255285014,O/E - visual acuity L-eye=6/24,80000,163955007,2B76.00,255285014
255268012,O/E - visual acuity R-eye=6/24,80000,163941004,2B66.00,255268012
622011000006112,Diplopia (double vision),70000,24982008,F482.00,41870012
219351000000118,Visual field defect,70000,12184005,F484.00,20984015
734661000006116,Loss of vision,70000,240311000000103,1B75.00,390341000000115
14191011,Impaired vision,60000,397540003,F49..11,3011990016
255269016,O/E - visual acuity R-eye=6/36,60000,163942006,2B67.00,255269016
255286010,O/E - visual acuity L-eye=6/36,60000,163956008,2B77.00,255286010
622021000006116,Diplopia/double vision,50000,24982008,1B72.00,41871011
338995019,Deteriorating vision,50000,225581002,1B77.00,338995019
856171000006114,Partially sighted (subjectively),50000,856171000006105,,856171000006114
298242012,Visual disturbance NOS,50000,63102001,F48z.00,104891017
399455016,Visual loss NOS,50000,240311000000103,F49z.00,390341000000115
253069014,Visual symptom NOS,40000,162274004,1B7Z.00,253059015
515791000006112,Blindness and low vision,40000,397540003,F49..00,3011990016
255287018,O/E - visual acuity L-eye=6/60,40000,163957004,2B78.00,255287018
255270015,O/E - visual acuity R-eye=6/60,40000,163943001,2B68.00,255270015
253067011,Temporary visual disturbance,40000,162279009,1B76.00,253067011
41871011,Double vision,30000,24982008,1B72.12,41871011
2164157019,Visual impairment,30000,397540003,F49D.00,1777162017
298277012,"Low vision, both eyes",30000,193722001,F492.00,298277012
857621000006116,Vision inadequate with aid,20000,857621000006100,,857621000006116
308101000000115,Certificate of vision impairment,20000,727391000000102,668C.00,1594641000000116
298300012,"Low vision, one eye",10000,193745007,F496.00,298300012
2164154014,Low vision,10000,7973008,F49..12,2164154014
1564221000000111,Registered severely sight impaired,10000,170727003,6689.11,1564221000000111
397182013,Visual aid,10000,266729006,8D3..00,397182013
124401000006112,Subjective visual disturbance,10000,78455002,F481.00,130183018
2164155010,Sight impaired,10000,397540003,F49..14,3011990016
460633016,[V]Problems with sight,10000,397540003,ZV41000,1777162017
298288018,Blindness of one eye,10000,22950006,F495000,38553019
515811000006111,Blindness - both eyes,9000,193699007,F490.00,298251016
857611000006112,Vision inadequate without aid,9000,857611000006108,,857611000006112
2163948018,O/E - pinhole visual acuity R-eye=6/12,9000,408304001,2B6G.00,2163948018
2164158012,Partial sight,9000,7973008,F49..13,2164158012
255293014,O/E - L-eye completely blind,8000,163960006,2B7B.00,255293014
255276014,O/E - R-eye completely blind,8000,163946009,2B6B.00,255276014
25807010,Sudden visual loss,8000,15203004,F481100,25807010
2163940013,O/E - pinhole visual acuity L-eye=6/12,8000,408296009,2B7G.00,2163940013
1563201000000117,Registered sight impaired,8000,713031000000100,668D.00,1563201000000117
298194019,Unspecified visual field defect,7000,12184005,F484000,20984015
883351000006119,Visual disturbances NOS,7000,599721000000102,F48z.99,883351000006119
855291000006110,Blind (subjectively),6000,855291000006106,,855291000006110
2549323018,O/E- visual acuity R-eye =6/15,6000,416793003,2B6b.00,2549323018
17791000000110,Registered partially blind,6000,2531000000100,6688.11,17791000000110
2549507019,O/E- visual acuity L-eye =6/15,6000,416965009,2B7b.00,2549507019
251655018,H/O: visual disturbance,5000,161490000,1484.00,251655018
255275013,O/E - blind R-eye,4000,163946009,2B6A.11,255275013
298216012,Visual field defects NOS,4000,12184005,F484z00,20984015
298309013,Blind or low vision - one eye only,4000,267728009,F49y.00,399720017
2163941012,O/E - pinhole visual acuity L-eye=6/18,4000,408297000,2B7H.00,2163941012
570481000006117,Cloudy vision,4000,246636008,F48y011,368425014
2163949014,O/E - pinhole visual acuity R-eye=6/18,4000,408305000,2B6H.00,2163949014
298170019,Transient visual loss,3000,36994005,F481400,61717016
283085014,Visual aid NOS,3000,266729006,8D3Z.00,397182013
256254013,Visual testing abnormal,3000,164728001,3124.00,256254013
1484840010,O/E - visual acuity L-eye=3/60,3000,390806006,2B7E.00,1484840010
4943551000006118,Sight deteriorating,3000,225581002,,338993014
857631000006118,Vision - blind despite any aid,3000,857631000006102,,857631000006118
456799019,"Acquired blindness, one eye",3000,22950006,F495A00,38553019
883331000006114,Diplopia - double vision,3000,24982008,F482.99,883331000006114
2623166016,Tunnel vision,3000,420990001,F484G11,2623166016
298285015,Blind or low vision - both eyes,3000,267727004,F493.00,399719011
255292016,O/E - blind L-eye,3000,163960006,2B7A.11,255292016
624591000006117,Disorders of optic nerve and visual pathways,2000,54767005,F4H..00,497044018
2163942017,O/E - pinhole visual acuity L-eye =6/24,2000,408298005,2B7J.00,2163942017
2163951013,O/E - pinhole visual acuity R-eye=6/36,2000,408307008,2B6K.00,2163951013
883361000006117,Blind/low vision - both eyes,2000,193699007,F490.98,883361000006117
